@HD	VN:1.0	SO:unsorted
@SQ	SN:scaffold78|size5138360	LN:5138360
@SQ	SN:scaffold79|size3404262	LN:3404262
@SQ	SN:scaffold80|size4850532	LN:4850532
@SQ	SN:scaffold81|size5049397	LN:5049397
@SQ	SN:scaffold82|size3496537	LN:3496537
@SQ	SN:scaffold83|size9312126	LN:9312126
@SQ	SN:scaffold84|size6091340	LN:6091340
@SQ	SN:scaffold85|size7361407	LN:7361407
@SQ	SN:scaffold86|size12969034	LN:12969034
@SQ	SN:scaffold87|size3302313	LN:3302313
@SQ	SN:scaffold88|size4476927	LN:4476927
@SQ	SN:scaffold89|size4641259	LN:4641259
@SQ	SN:scaffold90|size5463422	LN:5463422
@SQ	SN:scaffold91|size8410823	LN:8410823
@SQ	SN:scaffold92|size11579687	LN:11579687
@SQ	SN:scaffold93|size5554060	LN:5554060
@SQ	SN:scaffold94|size3232653	LN:3232653
@SQ	SN:scaffold95|size8452788	LN:8452788
@SQ	SN:scaffold96|size6114992	LN:6114992
@SQ	SN:scaffold97|size11113771	LN:11113771
@SQ	SN:scaffold98|size6908870	LN:6908870
@SQ	SN:scaffold99|size5290280	LN:5290280
@SQ	SN:scaffold100|size6592346	LN:6592346
@SQ	SN:scaffold101|size5462908	LN:5462908
@SQ	SN:scaffold102|size3109635	LN:3109635
@SQ	SN:scaffold103|size3082944	LN:3082944
@SQ	SN:scaffold104|size11017521	LN:11017521
@SQ	SN:scaffold105|size5413821	LN:5413821
@SQ	SN:scaffold106|size5766519	LN:5766519
@SQ	SN:scaffold107|size7205675	LN:7205675
@SQ	SN:scaffold108|size3009909	LN:3009909
@SQ	SN:scaffold109|size4347869	LN:4347869
@SQ	SN:scaffold110|size9024261	LN:9024261
@SQ	SN:scaffold111|size3231608	LN:3231608
@SQ	SN:scaffold112|size8540341	LN:8540341
@SQ	SN:scaffold113|size8799281	LN:8799281
@SQ	SN:scaffold114|size2903027	LN:2903027
@SQ	SN:scaffold115|size5670920	LN:5670920
@SQ	SN:scaffold116|size5008483	LN:5008483
@SQ	SN:scaffold117|size5086839	LN:5086839
@SQ	SN:scaffold118|size2976489	LN:2976489
@SQ	SN:scaffold119|size7880476	LN:7880476
@SQ	SN:scaffold120|size4570021	LN:4570021
@SQ	SN:scaffold121|size5036585	LN:5036585
@SQ	SN:scaffold122|size3416744	LN:3416744
@SQ	SN:scaffold123|size6074935	LN:6074935
@SQ	SN:scaffold124|size4158658	LN:4158658
@SQ	SN:scaffold125|size4902699	LN:4902699
@SQ	SN:scaffold126|size4979123	LN:4979123
@SQ	SN:scaffold127|size2693787	LN:2693787
@SQ	SN:scaffold128|size4923659	LN:4923659
@SQ	SN:scaffold129|size2655134	LN:2655134
@SQ	SN:scaffold130|size3971724	LN:3971724
@SQ	SN:scaffold131|size4679233	LN:4679233
@SQ	SN:scaffold132|size6017496	LN:6017496
@SQ	SN:scaffold133|size4267114	LN:4267114
@SQ	SN:scaffold134|size2587670	LN:2587670
@SQ	SN:scaffold135|size5358316	LN:5358316
@SQ	SN:scaffold136|size3981304	LN:3981304
@SQ	SN:scaffold137|size7966107	LN:7966107
@SQ	SN:scaffold138|size3064776	LN:3064776
@SQ	SN:scaffold139|size2533174	LN:2533174
@SQ	SN:scaffold140|size2510329	LN:2510329
@SQ	SN:scaffold141|size3321800	LN:3321800
@SQ	SN:scaffold142|size2498617	LN:2498617
@SQ	SN:scaffold143|size3094125	LN:3094125
@SQ	SN:scaffold144|size3052995	LN:3052995
@SQ	SN:scaffold145|size6014779	LN:6014779
@SQ	SN:scaffold146|size5826307	LN:5826307
@SQ	SN:scaffold147|size3485812	LN:3485812
@SQ	SN:scaffold148|size3078716	LN:3078716
@SQ	SN:scaffold149|size4921006	LN:4921006
@SQ	SN:scaffold150|size5799493	LN:5799493
@SQ	SN:scaffold151|size3901139	LN:3901139
@SQ	SN:scaffold152|size3155012	LN:3155012
@SQ	SN:scaffold153|size2401862	LN:2401862
@SQ	SN:scaffold154|size8199637	LN:8199637
@SQ	SN:scaffold155|size4362086	LN:4362086
@SQ	SN:scaffold156|size8096775	LN:8096775
@SQ	SN:scaffold157|size3123838	LN:3123838
@SQ	SN:scaffold158|size3741309	LN:3741309
@SQ	SN:scaffold159|size3745392	LN:3745392
@SQ	SN:scaffold160|size2332111	LN:2332111
@SQ	SN:scaffold161|size8023464	LN:8023464
@SQ	SN:scaffold162|size2302541	LN:2302541
@SQ	SN:scaffold163|size7734433	LN:7734433
@SQ	SN:scaffold164|size8403909	LN:8403909
@SQ	SN:scaffold165|size2475348	LN:2475348
@SQ	SN:scaffold166|size4140352	LN:4140352
@SQ	SN:scaffold167|size2461882	LN:2461882
@SQ	SN:scaffold168|size5480425	LN:5480425
@SQ	SN:scaffold169|size3448763	LN:3448763
@SQ	SN:scaffold170|size5894454	LN:5894454
@SQ	SN:scaffold171|size2544563	LN:2544563
@SQ	SN:scaffold172|size2364685	LN:2364685
@SQ	SN:scaffold173|size4499843	LN:4499843
@SQ	SN:scaffold174|size3185889	LN:3185889
@SQ	SN:scaffold175|size3541279	LN:3541279
@SQ	SN:scaffold176|size3464297	LN:3464297
@SQ	SN:scaffold177|size2648551	LN:2648551
@SQ	SN:scaffold178|size4326186	LN:4326186
@SQ	SN:scaffold179|size3022308	LN:3022308
@SQ	SN:scaffold180|size5850513	LN:5850513
@SQ	SN:scaffold181|size4531219	LN:4531219
@SQ	SN:scaffold182|size5565733	LN:5565733
@SQ	SN:scaffold183|size2481153	LN:2481153
@SQ	SN:scaffold184|size5369845	LN:5369845
@SQ	SN:scaffold185|size2163097	LN:2163097
@SQ	SN:scaffold186|size6248977	LN:6248977
@SQ	SN:scaffold187|size4496965	LN:4496965
@SQ	SN:scaffold188|size5940944	LN:5940944
@SQ	SN:scaffold189|size2381290	LN:2381290
@SQ	SN:scaffold190|size2150850	LN:2150850
@SQ	SN:scaffold191|size5779580	LN:5779580
@SQ	SN:scaffold192|size2204258	LN:2204258
@SQ	SN:scaffold193|size5341656	LN:5341656
@SQ	SN:scaffold194|size2664442	LN:2664442
@SQ	SN:scaffold195|size2135284	LN:2135284
@SQ	SN:scaffold196|size7131306	LN:7131306
@SQ	SN:scaffold197|size3469731	LN:3469731
@SQ	SN:scaffold198|size9039497	LN:9039497
@SQ	SN:scaffold199|size5368773	LN:5368773
@SQ	SN:scaffold200|size2192960	LN:2192960
@SQ	SN:scaffold201|size4233440	LN:4233440
@SQ	SN:scaffold202|size3571412	LN:3571412
@SQ	SN:scaffold203|size4256539	LN:4256539
@SQ	SN:scaffold204|size3978457	LN:3978457
@SQ	SN:scaffold205|size4489187	LN:4489187
@SQ	SN:scaffold206|size6838515	LN:6838515
@SQ	SN:scaffold207|size5999624	LN:5999624
@SQ	SN:scaffold208|size5873570	LN:5873570
@SQ	SN:scaffold209|size2042237	LN:2042237
@SQ	SN:scaffold210|size5714196	LN:5714196
@SQ	SN:scaffold211|size10162793	LN:10162793
@SQ	SN:scaffold212|size2594799	LN:2594799
@SQ	SN:scaffold213|size5314782	LN:5314782
@SQ	SN:scaffold214|size5932453	LN:5932453
@SQ	SN:scaffold215|size2434338	LN:2434338
@SQ	SN:scaffold216|size2947169	LN:2947169
@SQ	SN:scaffold217|size3986312	LN:3986312
@SQ	SN:scaffold218|size2538600	LN:2538600
@SQ	SN:scaffold219|size7444509	LN:7444509
@SQ	SN:scaffold220|size5797489	LN:5797489
@SQ	SN:scaffold221|size3279525	LN:3279525
@SQ	SN:scaffold222|size3820797	LN:3820797
@SQ	SN:scaffold223|size1970028	LN:1970028
@SQ	SN:scaffold224|size2373887	LN:2373887
@SQ	SN:scaffold225|size1964608	LN:1964608
@SQ	SN:scaffold226|size3672758	LN:3672758
@SQ	SN:scaffold227|size2227726	LN:2227726
@SQ	SN:scaffold228|size1949825	LN:1949825
@SQ	SN:scaffold229|size2797314	LN:2797314
@SQ	SN:scaffold230|size2684533	LN:2684533
@SQ	SN:scaffold231|size3616183	LN:3616183
@SQ	SN:scaffold232|size2915120	LN:2915120
@SQ	SN:scaffold233|size1933936	LN:1933936
@SQ	SN:scaffold234|size5383900	LN:5383900
@SQ	SN:scaffold235|size2377908	LN:2377908
@SQ	SN:scaffold236|size1918679	LN:1918679
@SQ	SN:scaffold237|size2523202	LN:2523202
@SQ	SN:scaffold238|size4694011	LN:4694011
@SQ	SN:scaffold239|size10313696	LN:10313696
@SQ	SN:scaffold240|size2629944	LN:2629944
@SQ	SN:scaffold241|size2898646	LN:2898646
@SQ	SN:scaffold242|size1926905	LN:1926905
@SQ	SN:scaffold243|size1998527	LN:1998527
@SQ	SN:scaffold244|size5307376	LN:5307376
@SQ	SN:scaffold245|size5072906	LN:5072906
@SQ	SN:scaffold246|size2016620	LN:2016620
@SQ	SN:scaffold247|size2417962	LN:2417962
@SQ	SN:scaffold248|size2281199	LN:2281199
@SQ	SN:scaffold249|size1942689	LN:1942689
@SQ	SN:scaffold250|size2850117	LN:2850117
@SQ	SN:scaffold251|size3229546	LN:3229546
@SQ	SN:scaffold252|size2435724	LN:2435724
@SQ	SN:scaffold253|size9280161	LN:9280161
@SQ	SN:scaffold254|size1830771	LN:1830771
@SQ	SN:scaffold255|size2347046	LN:2347046
@SQ	SN:scaffold256|size6853371	LN:6853371
@SQ	SN:scaffold257|size4663219	LN:4663219
@SQ	SN:scaffold258|size4857228	LN:4857228
@SQ	SN:scaffold259|size7403518	LN:7403518
@SQ	SN:scaffold260|size4792537	LN:4792537
@SQ	SN:scaffold261|size5038011	LN:5038011
@SQ	SN:scaffold262|size6246163	LN:6246163
@SQ	SN:scaffold263|size5861788	LN:5861788
@SQ	SN:scaffold264|size1776721	LN:1776721
@SQ	SN:scaffold265|size2200530	LN:2200530
@SQ	SN:scaffold266|size7606441	LN:7606441
@SQ	SN:scaffold267|size5382725	LN:5382725
@SQ	SN:scaffold268|size1834817	LN:1834817
@SQ	SN:scaffold269|size5955575	LN:5955575
@SQ	SN:scaffold270|size3161682	LN:3161682
@SQ	SN:scaffold271|size4879274	LN:4879274
@SQ	SN:scaffold272|size3419443	LN:3419443
@SQ	SN:scaffold273|size2574247	LN:2574247
@SQ	SN:scaffold274|size4948966	LN:4948966
@SQ	SN:scaffold275|size1701873	LN:1701873
@SQ	SN:scaffold276|size1698318	LN:1698318
@SQ	SN:scaffold277|size1768746	LN:1768746
@SQ	SN:scaffold278|size1691182	LN:1691182
@SQ	SN:scaffold279|size1690548	LN:1690548
@SQ	SN:scaffold280|size2877063	LN:2877063
@SQ	SN:scaffold281|size3809854	LN:3809854
@SQ	SN:scaffold282|size4279027	LN:4279027
@SQ	SN:scaffold283|size2815851	LN:2815851
@SQ	SN:scaffold284|size3083503	LN:3083503
@SQ	SN:scaffold285|size3325553	LN:3325553
@SQ	SN:scaffold286|size2082812	LN:2082812
@SQ	SN:scaffold287|size2147167	LN:2147167
@SQ	SN:scaffold288|size1727793	LN:1727793
@SQ	SN:scaffold289|size5637764	LN:5637764
@SQ	SN:scaffold290|size1631002	LN:1631002
@SQ	SN:scaffold291|size4091871	LN:4091871
@SQ	SN:scaffold292|size2106513	LN:2106513
@SQ	SN:scaffold293|size2488329	LN:2488329
@SQ	SN:scaffold294|size1624419	LN:1624419
@SQ	SN:scaffold295|size1647229	LN:1647229
@SQ	SN:scaffold296|size2050975	LN:2050975
@SQ	SN:scaffold297|size3485321	LN:3485321
@SQ	SN:scaffold298|size6785338	LN:6785338
@SQ	SN:scaffold299|size2271274	LN:2271274
@SQ	SN:scaffold300|size3728996	LN:3728996
@SQ	SN:scaffold301|size1700681	LN:1700681
@SQ	SN:scaffold302|size1651938	LN:1651938
@SQ	SN:scaffold303|size2848604	LN:2848604
@SQ	SN:scaffold304|size1599733	LN:1599733
@SQ	SN:scaffold305|size3789069	LN:3789069
@SQ	SN:scaffold306|size2482256	LN:2482256
@SQ	SN:scaffold307|size1572287	LN:1572287
@SQ	SN:scaffold308|size2348298	LN:2348298
@SQ	SN:scaffold309|size4928467	LN:4928467
@SQ	SN:scaffold310|size2853698	LN:2853698
@SQ	SN:scaffold311|size1558535	LN:1558535
@SQ	SN:scaffold312|size2631769	LN:2631769
@SQ	SN:scaffold313|size1552363	LN:1552363
@SQ	SN:scaffold314|size3633895	LN:3633895
@SQ	SN:scaffold315|size2103766	LN:2103766
@SQ	SN:scaffold316|size4744373	LN:4744373
@SQ	SN:scaffold317|size2208357	LN:2208357
@SQ	SN:scaffold318|size1727707	LN:1727707
@SQ	SN:scaffold319|size1520669	LN:1520669
@SQ	SN:scaffold320|size4267983	LN:4267983
@SQ	SN:scaffold321|size8711094	LN:8711094
@SQ	SN:scaffold322|size4923172	LN:4923172
@SQ	SN:scaffold323|size1886362	LN:1886362
@SQ	SN:scaffold324|size3142846	LN:3142846
@SQ	SN:scaffold325|size7242810	LN:7242810
@SQ	SN:scaffold326|size2181807	LN:2181807
@SQ	SN:scaffold327|size5096688	LN:5096688
@SQ	SN:scaffold328|size2539747	LN:2539747
@SQ	SN:scaffold329|size2755807	LN:2755807
@SQ	SN:scaffold330|size1983294	LN:1983294
@SQ	SN:scaffold331|size3919500	LN:3919500
@SQ	SN:scaffold332|size1546617	LN:1546617
@SQ	SN:scaffold333|size1585493	LN:1585493
@SQ	SN:scaffold334|size4676287	LN:4676287
@SQ	SN:scaffold335|size4382530	LN:4382530
@SQ	SN:scaffold336|size4579999	LN:4579999
@SQ	SN:scaffold337|size6556191	LN:6556191
@SQ	SN:scaffold338|size4493343	LN:4493343
@SQ	SN:scaffold339|size4103022	LN:4103022
@SQ	SN:scaffold340|size2744770	LN:2744770
@SQ	SN:scaffold341|size3263867	LN:3263867
@SQ	SN:scaffold342|size4272779	LN:4272779
@SQ	SN:scaffold343|size6854855	LN:6854855
@SQ	SN:scaffold344|size3007348	LN:3007348
@SQ	SN:scaffold345|size1444062	LN:1444062
@SQ	SN:scaffold346|size3204563	LN:3204563
@SQ	SN:scaffold347|size1440339	LN:1440339
@SQ	SN:scaffold348|size2801036	LN:2801036
@SQ	SN:scaffold349|size1459337	LN:1459337
@SQ	SN:scaffold350|size1567166	LN:1567166
@SQ	SN:scaffold351|size1564847	LN:1564847
@SQ	SN:scaffold352|size3886195	LN:3886195
@SQ	SN:scaffold353|size1432420	LN:1432420
@SQ	SN:scaffold354|size5311229	LN:5311229
@SQ	SN:scaffold355|size1421378	LN:1421378
@SQ	SN:scaffold356|size1755454	LN:1755454
@SQ	SN:scaffold357|size1753239	LN:1753239
@SQ	SN:scaffold358|size3445186	LN:3445186
@SQ	SN:scaffold359|size1912317	LN:1912317
@SQ	SN:scaffold360|size3629889	LN:3629889
@SQ	SN:scaffold361|size2073504	LN:2073504
@SQ	SN:scaffold362|size3505360	LN:3505360
@SQ	SN:scaffold363|size1383741	LN:1383741
@SQ	SN:scaffold364|size1781700	LN:1781700
@SQ	SN:scaffold365|size4682040	LN:4682040
@SQ	SN:scaffold366|size1374173	LN:1374173
@SQ	SN:scaffold367|size2713580	LN:2713580
@SQ	SN:scaffold368|size1922068	LN:1922068
@SQ	SN:scaffold369|size5615856	LN:5615856
@SQ	SN:scaffold370|size1359248	LN:1359248
@SQ	SN:scaffold371|size2086360	LN:2086360
@SQ	SN:scaffold372|size1707051	LN:1707051
@SQ	SN:scaffold373|size1352934	LN:1352934
@SQ	SN:scaffold374|size3095451	LN:3095451
@SQ	SN:scaffold375|size1533831	LN:1533831
@SQ	SN:scaffold376|size7698642	LN:7698642
@SQ	SN:scaffold377|size2046493	LN:2046493
@SQ	SN:scaffold378|size1417483	LN:1417483
@SQ	SN:scaffold379|size1325672	LN:1325672
@SQ	SN:scaffold380|size2288817	LN:2288817
@SQ	SN:scaffold381|size1323972	LN:1323972
@SQ	SN:scaffold382|size1322752	LN:1322752
@SQ	SN:scaffold383|size2563288	LN:2563288
@SQ	SN:scaffold384|size4207911	LN:4207911
@SQ	SN:scaffold385|size1892112	LN:1892112
@SQ	SN:scaffold386|size1297806	LN:1297806
@SQ	SN:scaffold387|size2042358	LN:2042358
@SQ	SN:scaffold388|size2604879	LN:2604879
@SQ	SN:scaffold389|size1293001	LN:1293001
@SQ	SN:scaffold390|size1895893	LN:1895893
@SQ	SN:scaffold391|size2077142	LN:2077142
@SQ	SN:scaffold392|size1314822	LN:1314822
@SQ	SN:scaffold393|size2949295	LN:2949295
@SQ	SN:scaffold394|size2684246	LN:2684246
@SQ	SN:scaffold395|size4210463	LN:4210463
@SQ	SN:scaffold396|size2454555	LN:2454555
@SQ	SN:scaffold397|size1926697	LN:1926697
@SQ	SN:scaffold398|size1269007	LN:1269007
@SQ	SN:scaffold399|size2464387	LN:2464387
@SQ	SN:scaffold400|size1267464	LN:1267464
@SQ	SN:scaffold401|size4195766	LN:4195766
@SQ	SN:scaffold402|size5334906	LN:5334906
@SQ	SN:scaffold403|size3351307	LN:3351307
@SQ	SN:scaffold404|size1253620	LN:1253620
@SQ	SN:scaffold405|size2447928	LN:2447928
@SQ	SN:scaffold406|size2945954	LN:2945954
@SQ	SN:scaffold407|size2508067	LN:2508067
@SQ	SN:scaffold408|size1477806	LN:1477806
@SQ	SN:scaffold409|size2927400	LN:2927400
@SQ	SN:scaffold410|size2783993	LN:2783993
@SQ	SN:scaffold411|size1233667	LN:1233667
@SQ	SN:scaffold412|size2500391	LN:2500391
@SQ	SN:scaffold413|size1239055	LN:1239055
@SQ	SN:scaffold414|size2345162	LN:2345162
@SQ	SN:scaffold415|size2136303	LN:2136303
@SQ	SN:scaffold416|size1211414	LN:1211414
@SQ	SN:scaffold417|size3258705	LN:3258705
@SQ	SN:scaffold418|size3433887	LN:3433887
@SQ	SN:scaffold419|size4483073	LN:4483073
@SQ	SN:scaffold420|size1203180	LN:1203180
@SQ	SN:scaffold421|size1351444	LN:1351444
@SQ	SN:scaffold422|size1675625	LN:1675625
@SQ	SN:scaffold423|size4918720	LN:4918720
@SQ	SN:scaffold424|size1635046	LN:1635046
@SQ	SN:scaffold425|size3798247	LN:3798247
@SQ	SN:scaffold426|size2181707	LN:2181707
@SQ	SN:scaffold427|size4602289	LN:4602289
@SQ	SN:scaffold428|size1758552	LN:1758552
@SQ	SN:scaffold429|size2027591	LN:2027591
@SQ	SN:scaffold430|size1360567	LN:1360567
@SQ	SN:scaffold431|size1757199	LN:1757199
@SQ	SN:scaffold432|size3032404	LN:3032404
@SQ	SN:scaffold433|size1151640	LN:1151640
@SQ	SN:scaffold434|size1502736	LN:1502736
@SQ	SN:scaffold435|size2209221	LN:2209221
@SQ	SN:scaffold436|size2581374	LN:2581374
@SQ	SN:scaffold437|size1129915	LN:1129915
@SQ	SN:scaffold438|size2099871	LN:2099871
@SQ	SN:scaffold439|size1128472	LN:1128472
@SQ	SN:scaffold440|size3641865	LN:3641865
@SQ	SN:scaffold441|size1147212	LN:1147212
@SQ	SN:scaffold442|size2090882	LN:2090882
@SQ	SN:scaffold443|size1118561	LN:1118561
@SQ	SN:scaffold444|size1118235	LN:1118235
@SQ	SN:scaffold445|size2908075	LN:2908075
@SQ	SN:scaffold446|size1908847	LN:1908847
@SQ	SN:scaffold447|size1096843	LN:1096843
@SQ	SN:scaffold448|size2173411	LN:2173411
@SQ	SN:scaffold449|size2905482	LN:2905482
@SQ	SN:scaffold450|size1443649	LN:1443649
@SQ	SN:scaffold451|size1776703	LN:1776703
@SQ	SN:scaffold452|size3458461	LN:3458461
@SQ	SN:scaffold453|size5479884	LN:5479884
@SQ	SN:scaffold454|size4037038	LN:4037038
@SQ	SN:scaffold455|size1082443	LN:1082443
@SQ	SN:scaffold456|size2998415	LN:2998415
@SQ	SN:scaffold457|size1071819	LN:1071819
@SQ	SN:scaffold458|size1812732	LN:1812732
@SQ	SN:scaffold459|size1160748	LN:1160748
@SQ	SN:scaffold460|size1155355	LN:1155355
@SQ	SN:scaffold461|size1058642	LN:1058642
@SQ	SN:scaffold462|size1284950	LN:1284950
@SQ	SN:scaffold463|size1056166	LN:1056166
@SQ	SN:scaffold464|size1054781	LN:1054781
@SQ	SN:scaffold465|size1054636	LN:1054636
@SQ	SN:scaffold466|size1853336	LN:1853336
@SQ	SN:scaffold467|size1416458	LN:1416458
@SQ	SN:scaffold468|size1046717	LN:1046717
@SQ	SN:scaffold469|size2021683	LN:2021683
@SQ	SN:scaffold470|size1037876	LN:1037876
@SQ	SN:scaffold471|size2244838	LN:2244838
@SQ	SN:scaffold472|size1035092	LN:1035092
@SQ	SN:scaffold473|size1717294	LN:1717294
@SQ	SN:scaffold474|size3431520	LN:3431520
@SQ	SN:scaffold475|size1028205	LN:1028205
@SQ	SN:scaffold476|size1187404	LN:1187404
@SQ	SN:scaffold477|size1044886	LN:1044886
@SQ	SN:scaffold478|size1019786	LN:1019786
@SQ	SN:scaffold479|size2009244	LN:2009244
@SQ	SN:scaffold480|size1103247	LN:1103247
@SQ	SN:scaffold481|size1010834	LN:1010834
@SQ	SN:scaffold482|size1152612	LN:1152612
@SQ	SN:scaffold483|size1787697	LN:1787697
@SQ	SN:scaffold484|size1898737	LN:1898737
@SQ	SN:scaffold485|size1403198	LN:1403198
@SQ	SN:scaffold486|size1438549	LN:1438549
@SQ	SN:scaffold487|size4064861	LN:4064861
@SQ	SN:scaffold488|size2982078	LN:2982078
@SQ	SN:scaffold489|size2100133	LN:2100133
@SQ	SN:scaffold490|size2218770	LN:2218770
@SQ	SN:scaffold491|size986100	LN:986100
@SQ	SN:scaffold492|size992600	LN:992600
@SQ	SN:scaffold493|size972766	LN:972766
@SQ	SN:scaffold494|size1027182	LN:1027182
@SQ	SN:scaffold495|size1817940	LN:1817940
@SQ	SN:scaffold496|size1928766	LN:1928766
@SQ	SN:scaffold497|size1316546	LN:1316546
@SQ	SN:scaffold498|size2629239	LN:2629239
@SQ	SN:scaffold499|size1416857	LN:1416857
@SQ	SN:scaffold500|size1367340	LN:1367340
@SQ	SN:scaffold501|size1790627	LN:1790627
@SQ	SN:scaffold502|size1935466	LN:1935466
@SQ	SN:scaffold503|size944055	LN:944055
@SQ	SN:scaffold504|size928296	LN:928296
@SQ	SN:scaffold505|size1343083	LN:1343083
@SQ	SN:scaffold506|size1824909	LN:1824909
@SQ	SN:scaffold507|size1370929	LN:1370929
@SQ	SN:scaffold508|size1465513	LN:1465513
@SQ	SN:scaffold509|size1901976	LN:1901976
@SQ	SN:scaffold510|size916916	LN:916916
@SQ	SN:scaffold511|size1957363	LN:1957363
@SQ	SN:scaffold512|size900327	LN:900327
@SQ	SN:scaffold513|size1528332	LN:1528332
@SQ	SN:scaffold514|size2159666	LN:2159666
@SQ	SN:scaffold515|size1292589	LN:1292589
@SQ	SN:scaffold516|size882503	LN:882503
@SQ	SN:scaffold517|size1053121	LN:1053121
@SQ	SN:scaffold518|size871797	LN:871797
@SQ	SN:scaffold519|size1000694	LN:1000694
@SQ	SN:scaffold520|size944999	LN:944999
@SQ	SN:scaffold521|size974771	LN:974771
@SQ	SN:scaffold522|size858929	LN:858929
@SQ	SN:scaffold523|size885389	LN:885389
@SQ	SN:scaffold524|size2131518	LN:2131518
@SQ	SN:scaffold525|size860753	LN:860753
@SQ	SN:scaffold526|size896450	LN:896450
@SQ	SN:scaffold527|size1636296	LN:1636296
@SQ	SN:scaffold528|size841754	LN:841754
@SQ	SN:scaffold529|size2236426	LN:2236426
@SQ	SN:scaffold530|size1015822	LN:1015822
@SQ	SN:scaffold531|size1986941	LN:1986941
@SQ	SN:scaffold532|size833628	LN:833628
@SQ	SN:scaffold533|size833384	LN:833384
@SQ	SN:scaffold534|size1723811	LN:1723811
@SQ	SN:scaffold535|size1787141	LN:1787141
@SQ	SN:scaffold536|size1417698	LN:1417698
@SQ	SN:scaffold537|size1533710	LN:1533710
@SQ	SN:scaffold538|size1867664	LN:1867664
